column,name,section,eem,genero,potencial_omec,value,score,type
start,start,,,,,,,
end,end,,,,,,,
today,today,,,,,,,
CONSENT_INF_01,"En el contexto actual de la conservación de la biodiversidad, es fundamental contar con mecanismos que aseguren no solo la protección de los ecosistemas, sino también la efectividad de su gestión a largo plazo. En Ecuador, país megadiverso y comprometido con los objetivos globales de conservación, surge la necesidad de fortalecer y reconocer los esfuerzos de conservación más allá de las áreas protegidas oficialmente establecidas.",,,,,,,
CONSENT_INF_02,"Esta herramienta de evaluación esta en una fase piloto, que ha sido desarrollada con el propósito de medir y fortalecer la efectividad del manejo de áreas de conservación gestionadas por diversos actores —incluidos pueblos y nacionalidades indígenas, comunidades locales, organizaciones de la sociedad civil, sector privado y gobiernos locales, que aspiran a ser reconocidas como Otras Medidas Efectivas de Conservación basadas en áreas (OMEC), según los criterios establecidos por el Convenio sobre la Diversidad Biológica (CDB).",,,,,,,
CONSENT_INF_03,"A través de un enfoque participativo, técnico y adaptado a la realidad nacional, esta herramienta permite identificar fortalezas, oportunidades de mejora y acciones prioritarias para garantizar que estas áreas contribuyan de manera efectiva a la conservación in situ de la biodiversidad. Asimismo, facilita la toma de decisiones informadas, promueve la gobernanza inclusiva y respalda los compromisos internacionales del Ecuador en materia de conservación y sostenibilidad.",,,,,,,
CONSENT_INF_04,"Este instrumento no solo busca evaluar, sino también reconocer y visibilizar los esfuerzos de conservación que se llevan a cabo fuera del sistema nacional de áreas protegidas, impulsando su integración como parte clave del mosaico nacional de conservación.",,,,,,,
CONSENT_INF_06,Su participación es totalmente voluntaria. Llenar este cuestionario le tomará aproximadamente X minutos.,,,,,,,
Acepto_participar_en_do_este_cuestionario,Acepto participar en la herramienta de evaluación llenando este cuestionario.,,,,,,,
_0102_name,1.1. Por favor indique su nombre y apellido,,,,,,,
_0102_genero,1.2. ¿Con qué género se identifica?,,,,,,,
_0103_etnia,1.3 Por favor indique su auto identificación étnica,,,,,,,
_0104_org,1.4. Institución o Comunidad a la que representa,,,,,,,
_0105_cargo_001,1.5. Definición del puesto de trabajo en relación con el Área,,,,,,,
_0201_fecha_ev,2.1. Fecha en la que se realizó la evaluación (día/mes/año),,,,,,,
_0202_metodo_encuesta,2.2. Método para aplicar la evaluación,,,,,,,
_0203_num_participantes,2.3. Número de personas que participan en la evaluación,,,,,,,
_0204_num_mujeres,2.4. Representación de género,,,,,,,
_0205_rango_edad,2.5. Rango edad de participantes,,,,,,,
_0205_rango_edad/menos_18,2.5. Rango edad de participantes/Menor a 18,,,,,,,
_0205_rango_edad/18_24,2.5. Rango edad de participantes/18 años a 24 años,,,,,,,
_0205_rango_edad/25_34,2.5. Rango edad de participantes/25 años a 34 años,,,,,,,
_0205_rango_edad/35_44,2.5. Rango edad de participantes/35 años a 44 años,,,,,,,
_0205_rango_edad/45_54,2.5. Rango edad de participantes/45 años a 54 años,,,,,,,
_0205_rango_edad/mas_54,2.5. Rango edad de participantes/Mas de 54,,,,,,,
_0206_inst_org_participantes,2.6. Instituciones y/o comunidades de los participantes,,,,,,,
_0301_pais,3.1. País donde se ubica el Área,,,,,,,
